,dataset,origin_type,coref_strategy,identification_method,parameters,wordvectors,index,time,mentions_num,avg_time,config
6,NewsWCL_2019,annotated,one_doc,eecdcr,default,elmo,6_Asylum-SeekingMigrantCaravan,2144.598863,396,5.415653694,NewsWCL_2019_annotated_one_doc_eecdcr_default_elmo
7,NewsWCL_2019,annotated,one_doc,eecdcr,default,elmo,7_TrumpDelaysTariff,1464.328051,369,3.968368702,NewsWCL_2019_annotated_one_doc_eecdcr_default_elmo
8,NewsWCL_2019,annotated,one_doc,eecdcr,default,elmo,8_MuellerQuestionsTrump,1029.884247,325,3.168874605,NewsWCL_2019_annotated_one_doc_eecdcr_default_elmo
9,NewsWCL_2019,annotated,one_doc,eecdcr,default,elmo,9_Iranfiles,935.2880629,319,2.931937501,NewsWCL_2019_annotated_one_doc_eecdcr_default_elmo
0,NewsWCL_2019,annotated,one_doc,tca,default,word2vec,0_CIADirectorMikePompeoMeetingNorthKorea,173.6734949,404,0.429884888,NewsWCL_2019_annotated_one_doc_tca_default_word2vec
1,NewsWCL_2019,annotated,one_doc,tca,default,word2vec,1_ComeyMemo,90.31931014,373,0.242142923,NewsWCL_2019_annotated_one_doc_tca_default_word2vec
2,NewsWCL_2019,annotated,one_doc,tca,default,word2vec,2_NorthKoreaNuclearStopAnnouncement,161.3330929,431,0.374322721,NewsWCL_2019_annotated_one_doc_tca_default_word2vec
3,NewsWCL_2019,annotated,one_doc,tca,default,word2vec,3_DemocratsSueRUTrump,259.8496151,591,0.43967786,NewsWCL_2019_annotated_one_doc_tca_default_word2vec
4,NewsWCL_2019,annotated,one_doc,tca,default,word2vec,4_TrumpDealIran,105.1684859,350,0.300481388,NewsWCL_2019_annotated_one_doc_tca_default_word2vec
5,NewsWCL_2019,annotated,one_doc,tca,default,word2vec,5_TrumpVisitUnitedKingdom,95.39700221,298,0.320124168,NewsWCL_2019_annotated_one_doc_tca_default_word2vec
6,NewsWCL_2019,annotated,one_doc,tca,default,word2vec,6_Asylum-SeekingMigrantCaravan,122.4920482,392,0.312479715,NewsWCL_2019_annotated_one_doc_tca_default_word2vec
7,NewsWCL_2019,annotated,one_doc,tca,default,word2vec,7_TrumpDelaysTariff,96.79734109,364,0.265926761,NewsWCL_2019_annotated_one_doc_tca_default_word2vec
8,NewsWCL_2019,annotated,one_doc,tca,default,word2vec,8_MuellerQuestionsTrump,84.48639876,326,0.259160732,NewsWCL_2019_annotated_one_doc_tca_default_word2vec
9,NewsWCL_2019,annotated,one_doc,tca,default,word2vec,9_Iranfiles,113.685221,320,0.355266316,NewsWCL_2019_annotated_one_doc_tca_default_word2vec
0,NewsWCL_2019,annotated,one_doc,tca_orig,default,word2vec,0_CIADirectorMikePompeoMeetingNorthKorea,28.90069092,404,0.071536364,NewsWCL_2019_annotated_one_doc_tca_orig_default_word2vec
1,NewsWCL_2019,annotated,one_doc,tca_orig,default,word2vec,1_ComeyMemo,29.15827814,373,0.078172327,NewsWCL_2019_annotated_one_doc_tca_orig_default_word2vec
2,NewsWCL_2019,annotated,one_doc,tca_orig,default,word2vec,2_NorthKoreaNuclearStopAnnouncement,37.7750299,431,0.087645081,NewsWCL_2019_annotated_one_doc_tca_orig_default_word2vec
3,NewsWCL_2019,annotated,one_doc,tca_orig,default,word2vec,3_DemocratsSueRUTrump,47.59832112,591,0.080538614,NewsWCL_2019_annotated_one_doc_tca_orig_default_word2vec
4,NewsWCL_2019,annotated,one_doc,tca_orig,default,word2vec,4_TrumpDealIran,29.10075489,350,0.083145014,NewsWCL_2019_annotated_one_doc_tca_orig_default_word2vec
5,NewsWCL_2019,annotated,one_doc,tca_orig,default,word2vec,5_TrumpVisitUnitedKingdom,22.13622121,298,0.074282621,NewsWCL_2019_annotated_one_doc_tca_orig_default_word2vec
6,NewsWCL_2019,annotated,one_doc,tca_orig,default,word2vec,6_Asylum-SeekingMigrantCaravan,34.4494972,392,0.08788137,NewsWCL_2019_annotated_one_doc_tca_orig_default_word2vec
7,NewsWCL_2019,annotated,one_doc,tca_orig,default,word2vec,7_TrumpDelaysTariff,29.58244609,364,0.081270456,NewsWCL_2019_annotated_one_doc_tca_orig_default_word2vec
8,NewsWCL_2019,annotated,one_doc,tca_orig,default,word2vec,8_MuellerQuestionsTrump,25.59813376,326,0.078521883,NewsWCL_2019_annotated_one_doc_tca_orig_default_word2vec
9,NewsWCL_2019,annotated,one_doc,tca_orig,default,word2vec,9_Iranfiles,26.77575198,320,0.083674225,NewsWCL_2019_annotated_one_doc_tca_orig_default_word2vec
